IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Sector
2022-03-02,SPCM,"Sound Point Acquisition Corp I, Ltd",10,10.43,4.3,337345834,Financials
2022-03-02,SHUA,SHUAA Partners Acquisition Corp I,10,10.37,3.7,140837034,Financials
2022-03-02,=KCAC,Kensington Capital Acquisition Corp. IV,10,9.21,-7.9,,
2022-03-01,VMCA,Valuence Merger Corp. I,10,10.42,4.2,286680240,Financials
2022-02-25,GSRM,GSR II Meteora Acquisition Corp.,10,10.19,1.9,402822928,Financials
2022-02-25,FGMC,FG Merger Corp.,10,10.29,2.9,104523762,Financials
2022-02-24,CLIN,Clean Earth Acquisitions Corp.,10,10.17,1.7,321247175,Financials
2022-02-18,PWUP,PowerUp Acquisition Corp.,10,10.39,3.9,373749990,Financials
2022-02-18,BWV,"Blue Water Vaccines, Inc.",9,1.29,-85.66667,19962750,Healthcare
2022-02-16,MHUA,"Meihua International Medical Technologies Co., Ltd.",10,12.13,21.3,290392200,Healthcare
2022-02-16,AXAC,AXIOS Sustainable Growth Acquisition Corporation,10,10.36,3.6,227117079,Financials
2022-02-16,FTII,FutureTech II Acquisition Corp.,10,10.33,3.3,155054333,Financials
2022-02-16,SMFL,"Smart for Life, Inc.",10,0.2177,-97.823,7859645,Consumer Staples
2022-02-15,GENQ,Genesis Unicorn Capital Corp.,10,10.415,4.15,116665695,Financials
2022-02-15,ASCA,A SPAC I Acquisition Corp.,10,10.32,3.2,89722080,Financials
2022-02-11,JGGC,Jaguar Global Growth Corporation I,10,10.32,3.2,316480344,Financials
2022-02-11,RACY,Relativity Acquisition Corp.,10,12.28,22.8,228684288,Financials
2022-02-11,SGHL,Signal Hill Acquisition Corp.,10,10.26,2.6,128250000,Financials
2022-02-11,HNRA,HNR Acquisition Corp.,10,10.34,3.4,120266608,Financials
2022-02-11,MDV,Modiv Inc.,25,13.6542,-45,102930713,Real Estate
2022-02-11,DRCT,"Direct Digital Holdings, Inc.",5.5,5.15,-6.36364,16790854,Communication Services
2022-02-11,TCBP,TC BioPharm (Holdings) plc,4.25,5.1,20,4054265,Healthcare
2022-02-10,SKYX,SQL Technologies Corp.,14,3.3,-76.42857,273065100,Industrials
2022-02-10,HTCR,"HeartCore Enterprises, Inc.",5,1.12,-77.6,19767888,Technology
2022-02-09,BYNO,byNordic Acquisition Corporation,10,10.27,2.7,245863800,Financials
2022-02-09,EVGR,Evergreen Corporation,10,10.33,3.3,153994465,Financials
2022-02-09,CPAQ,Counter Press Acquisition Corporation,10,10.33,3.3,95535858,Financials
2022-02-08,LIVB,LIV Capital Acquisition Corp. II,10,10.34,3.4,129698756,Financials
2022-02-07,ATAK,Aurora Technology Acquisition Corp.,10,10.25,2.5,258812500,Financials
2022-02-04,ACLX,"Arcellx, Inc.",15,33.94,126.26667,1544687360,Healthcare
2022-02-04,TGR,Kimbell Tiger Acquisition Corporation,10,10.38,3.8,298426028,Financials
2022-02-04,NVCT,"Nuvectis Pharma, Inc.",5,7.98,59.6,116847150,Healthcare
2022-02-04,SSIC,Silver Spike Investment Corp.,14,9.8,-30,60903766,Healthcare
2022-02-03,MURF,Murphy Canyon Acquisition Corp.,10,10.34,3.4,178728958,Financials
2022-02-02,MTEK,Maris-Tech Ltd.,4.2,0.9574,-77.20476,7658453,Technology
2022-02-01,ACAX,Alset Capital Acquisition Corp.,10,10.14,1.4,114125700,Financials
2022-01-31,BWAQ,Blue World Acquisition Corporation,10,10.285,2.85,123054883,Financials
2022-01-27,CRDO,Credo Technology Group Holding Ltd,10,17.31,73.1,2540450220,Technology
2022-01-27,KSCP,"Knightscope, Inc.",10,1.65,-83.5,63433095,Industrials
2022-01-25,LATG,LatAmGrowth SPAC,10,10.33,3.3,167862500,Financials
2022-01-25,KYCH,Keyarch Acquisition Corporation,10,10.18,1.8,153921600,Financials
2022-01-25,FGI,FGI Industries Ltd.,6,2.2,-63.33333,20900000,Consumer Discretionary
2022-01-21,HCMA,HCM Acquisition Corp.,10,10.32,3.2,400545000,Financials
2022-01-21,KNSW,KnightSwan Acquisition Corporation,10,10.26,2.6,294975000,Financials
2022-01-21,HMA,Heartland Media Acquisition Corp.,10,10.27,2.7,247082839,Financials
2022-01-20,BYN,Banyan Acquisition Corporation,10,10.3,3,323368469,Financials
2022-01-20,GAQ,Generation Asia I Acquisition Limited,10,10.22,2.2,300595730,Financials
2022-01-20,DUET,DUET Acquisition Corp.,10,10.24,2.4,115276790,Financials
2022-01-19,AIB,AIB Acquisition Corporation,10,10.4,4,117022880,Financials
2022-01-18,TETE,Technology & Telecommunication Acquisition Corporation,10,10.39,3.9,154888915,Financials
2022-01-18,TKLF,"Yoshitsu Co., Ltd",4,1.24,-69,44950124,Consumer Staples
2022-01-14,PPYA,Papaya Growth Opportunity Corp. I,10,10.285,2.85,387172664,Financials
2022-01-14,ACAB,Atlantic Coastal Acquisition Corp. II,10,10.3,3,386250010,Financials
2022-01-13,TPG,TPG Inc.,29.5,32.31,9.52542,9980332345,Financials
2022-01-13,WNNR,Andretti Acquisition Corp.,10,10.36,3.6,297849979,Financials
2022-01-13,CSLM,"Consilium Acquisition Corp I, Ltd.",10,10.23,2.3,242643314,Financials
2022-01-12,GHIX,"Gores Holdings IX, Inc.",10,10,,656250030,Financials
2022-01-12,VCXB,10x Capital Venture Acquisition Corp. III,10,10.2,2,419760600,Financials
2022-01-12,ITAQ,"Industrial Tech Acquisitions II, Inc.",10,10.28,2.8,221662490,Financials
2022-01-12,WAVS,Western Acquisition Ventures Corp.,10,10.2501,2.501,151199225,Financials
2022-01-12,HILS,"Hillstream BioPharma, Inc.",4,0.6,-85,6917940,Healthcare
2022-01-11,BRAC,Broad Capital Acquisition Corp.,10,10.42,4.2,137023000,Financials
2022-01-07,AMLX,"Amylyx Pharmaceuticals, Inc.",19,40.93,115.42105,2711866266,Healthcare
2022-01-07,CINC,"CinCor Pharma, Inc.",16,28.8,80,1260411840,Healthcare
2022-01-07,VIGL,"Vigil Neuroscience, Inc.",14,11.11,-20.64286,395306021,Healthcare
2022-01-07,CXAC,C5 Acquisition Corporation,10,10.3071,3.071,370411386,Financials
2022-01-07,VBOC,Viscogliosi Brothers Acquisition Corp.,10,10.2,2,110076052,Financials
2022-01-07,HOUR,"Hour Loop, Inc.",4,3,-25,105127800,Consumer Discretionary
2022-01-06,SCRM,Screaming Eagle Acquisition Corp.,10,10.025,0.25,939843750,Financials
2022-01-05,CITE,Cartica Acquisition Corp,10,10.41,4.1,299287490,Financials
2021-12-30,GMFI,Aetherium Acquisition Corp.,10,10.25,2.5,152760875,Financials
2021-12-28,WTMA,Welsbach Technology Metals Acquisition Corp.,10,10.24,2.4,102519808,Financials
2021-12-27,AOGO,Arogo Capital Acquisition Corp.,10,10.22,2.2,137249490,Financials
2021-12-22,GDNR,Gardiner Healthcare Acquisitions Corp.,10,10.35,3.5,111585420,Financials
2021-12-22,NXGL,"NexGel, Inc.",5.5,1.36,-75.27273,7578233,Healthcare
2021-12-21,NVAC,NorthView Acquisition Corporation,10,10.22,2.2,247005136,Financials
2021-12-21,=LSPR,Larkspur Health Acquisition Corp.,10,22.5,125,225656992,
2021-12-21,SAGA,Sagaliam Acquisition Corp.,10,10.34,3.4,156196090,Financials
2021-12-17,APCA,AP Acquisition Corp,10,10.42,4.2,224681250,Financials
2021-12-17,RCAC,Revelstone Capital Acquisition Corp.,10,10.13,1.3,208931240,Financials
2021-12-16,EMLD,FTAC Emerald Acquisition Corp.,10,10.11,1.1,348741242,Financials
